houseValue;income;houseAge;rooms;bedrooms;population;households;latitude;longitude;id.y;STATE;COUNTY;NAME;LSAD;LSAD_TRANS;suminc;roomhead;bedroomhead;hhsize
110400;1.7969;48;1922;409;1026;335;37.84;-122.27;33;6;1;Alameda;6;County;601.9615;1.873294347;0.398635478;3.062686567
104900;1.375;49;1655;366;754;329;37.83;-122.27;34;6;1;Alameda;6;County;452.375;2.194960212;0.485411141;2.291793313
109700;2.7303;51;2665;574;1258;536;37.83;-122.27;35;6;1;Alameda;6;County;1463.4408;2.118441971;0.456279809;2.347014925
97200;1.4861;49;1215;282;570;264;37.83;-122.27;36;6;1;Alameda;6;County;392.3304;2.131578947;0.494736842;2.159090909
104500;1.0972;48;1798;432;987;374;37.83;-122.27;37;6;1;Alameda;6;County;410.3528;1.821681864;0.43768997;2.639037433
103900;1.4103;52;1511;390;901;403;37.83;-122.28;38;6;1;Alameda;6;County;568.3509;1.677025527;0.432852386;2.23573201
191400;3.48;52;1470;330;689;309;37.83;-122.26;39;6;1;Alameda;6;County;1075.32;2.133526851;0.478955007;2.229773463
176000;2.5898;52;2432;715;1377;696;37.83;-122.26;40;6;1;Alameda;6;County;1802.5008;1.766158315;0.519244735;1.978448276
155400;2.0978;52;1665;419;946;395;37.83;-122.26;41;6;1;Alameda;6;County;828.631;1.760042283;0.442917548;2.394936709
150000;1.2852;51;936;311;517;249;37.83;-122.26;42;6;1;Alameda;6;County;320.0148;1.810444874;0.601547389;2.076305221
118800;1.025;49;713;202;462;189;37.84;-122.26;43;6;1;Alameda;6;County;193.725;1.543290043;0.437229437;2.444444444
188800;3.9643;52;950;202;467;198;37.84;-122.26;44;6;1;Alameda;6;County;784.9314;2.034261242;0.43254818;2.358585859
184400;3.0125;52;1443;311;660;292;37.83;-122.26;45;6;1;Alameda;6;County;879.65;2.186363636;0.471212121;2.260273973
182300;2.6768;52;1656;420;718;382;37.83;-122.26;46;6;1;Alameda;6;County;1022.5376;2.306406685;0.584958217;1.879581152
142500;2.026;50;1125;322;616;304;37.83;-122.26;47;6;1;Alameda;6;County;615.904;1.826298701;0.522727273;2.026315789
137500;1.7348;43;1007;312;558;253;37.82;-122.27;48;6;1;Alameda;6;County;438.9044;1.804659498;0.559139785;2.205533597
187500;0.9506;40;624;195;423;160;37.82;-122.26;49;6;1;Alameda;6;County;152.096;1.475177305;0.460992908;2.64375
112500;1.775;40;946;375;700;352;37.82;-122.27;50;6;1;Alameda;6;County;624.8;1.351428571;0.535714286;1.988636364
171900;0.9218;21;896;453;735;438;37.82;-122.27;51;6;1;Alameda;6;County;403.7484;1.219047619;0.616326531;1.678082192
93800;1.5045;43;1868;456;1061;407;37.82;-122.27;52;6;1;Alameda;6;County;612.3315;1.760603205;0.429783223;2.606879607
97500;1.1108;41;3221;853;1959;720;37.82;-122.27;53;6;1;Alameda;6;County;799.776;1.644206228;0.435426238;2.720833333
104200;1.2475;52;1630;456;1162;400;37.82;-122.27;54;6;1;Alameda;6;County;499;1.402753873;0.39242685;2.905
87500;1.6098;52;1170;235;701;233;37.82;-122.28;55;6;1;Alameda;6;County;375.0834;1.669044223;0.335235378;3.008583691
83100;1.4113;52;945;243;576;220;37.82;-122.28;56;6;1;Alameda;6;County;310.486;1.640625;0.421875;2.618181818
87500;1.5057;52;1238;288;622;259;37.82;-122.28;57;6;1;Alameda;6;County;389.9763;1.990353698;0.463022508;2.401544402
85300;0.8172;52;1489;335;728;244;37.82;-122.28;58;6;1;Alameda;6;County;199.3968;2.04532967;0.460164835;2.983606557
80300;1.2171;52;1387;341;1074;304;37.82;-122.28;59;6;1;Alameda;6;County;369.9984;1.291433892;0.317504655;3.532894737
60000;2.5625;2;158;43;94;57;37.82;-122.29;60;6;1;Alameda;6;County;146.0625;1.680851064;0.457446809;1.649122807
75700;3.3929;52;1121;211;554;187;37.83;-122.29;61;6;1;Alameda;6;County;634.4723;2.023465704;0.380866426;2.962566845
75000;6.1183;49;135;29;86;23;37.82;-122.29;62;6;1;Alameda;6;County;140.7209;1.569767442;0.337209302;3.739130435
86100;0.9011;50;760;190;377;122;37.81;-122.29;63;6;1;Alameda;6;County;109.9342;2.015915119;0.50397878;3.090163934
76100;1.191;52;1224;237;521;159;37.81;-122.3;64;6;1;Alameda;6;County;189.369;2.349328215;0.454894434;3.27672956
73500;2.5938;48;828;182;392;133;37.81;-122.3;65;6;1;Alameda;6;County;344.9754;2.112244898;0.464285714;2.947368421
78400;1.1667;52;1010;209;604;187;37.81;-122.3;66;6;1;Alameda;6;County;218.1729;1.67218543;0.34602649;3.229946524
84400;0.8056;48;1455;354;788;332;37.81;-122.3;67;6;1;Alameda;6;County;267.4592;1.846446701;0.449238579;2.373493976
81300;2.6094;52;1027;244;492;147;37.8;-122.29;68;6;1;Alameda;6;County;383.5818;2.087398374;0.495934959;3.346938776
85000;1.8516;52;572;109;274;82;37.81;-122.3;69;6;1;Alameda;6;County;151.8312;2.087591241;0.397810219;3.341463415
129200;0.9802;46;2801;644;1823;611;37.81;-122.29;70;6;1;Alameda;6;County;598.9022;1.536478332;0.353263851;2.983633388
82500;1.7719;26;768;152;392;127;37.81;-122.29;71;6;1;Alameda;6;County;225.0313;1.959183673;0.387755102;3.086614173
95200;0.7286;46;935;297;582;277;37.81;-122.29;72;6;1;Alameda;6;County;201.8222;1.60652921;0.510309278;2.101083032
75000;1.75;49;844;204;560;152;37.81;-122.29;73;6;1;Alameda;6;County;266;1.507142857;0.364285714;3.684210526
67500;0.4999;46;12;4;18;7;37.81;-122.29;74;6;1;Alameda;6;County;3.4993;0.666666667;0.222222222;2.571428571
137500;2.483;20;835;161;290;133;37.81;-122.29;75;6;1;Alameda;6;County;330.239;2.879310345;0.555172414;2.180451128
177500;0.9241;17;1237;462;762;439;37.81;-122.28;76;6;1;Alameda;6;County;405.6799;1.62335958;0.606299213;1.735763098
102100;2.4464;36;2914;562;1236;509;37.81;-122.28;77;6;1;Alameda;6;County;1245.2176;2.357605178;0.454692557;2.428290766
108300;1.1111;19;1207;243;721;207;37.81;-122.28;78;6;1;Alameda;6;County;229.9977;1.6740638;0.3370319;3.483091787
112500;0.8026;23;1745;374;1054;325;37.81;-122.29;79;6;1;Alameda;6;County;260.845;1.655597723;0.35483871;3.243076923
131300;2.0114;38;684;176;344;155;37.8;-122.28;80;6;1;Alameda;6;County;311.767;1.988372093;0.511627907;2.219354839
162500;1.5;17;924;289;609;289;37.81;-122.28;81;6;1;Alameda;6;County;433.5;1.517241379;0.47454844;2.107266436
112500;1.1667;52;210;56;183;56;37.81;-122.27;82;6;1;Alameda;6;County;65.3352;1.147540984;0.306010929;3.267857143
112500;1.5208;52;340;97;200;87;37.81;-122.28;83;6;1;Alameda;6;County;132.3096;1.7;0.485;2.298850575
137500;0.8075;52;386;164;346;155;37.81;-122.28;84;6;1;Alameda;6;County;125.1625;1.115606936;0.473988439;2.232258065
118800;1.8088;35;948;184;467;169;37.81;-122.28;85;6;1;Alameda;6;County;305.6872;2.029978587;0.394004283;2.763313609
98200;2.4083;52;773;143;377;115;37.81;-122.28;86;6;1;Alameda;6;County;276.9545;2.050397878;0.379310345;3.27826087
118800;0.977;40;880;451;582;380;37.81;-122.27;87;6;1;Alameda;6;County;371.26;1.512027491;0.774914089;1.531578947
162500;0.76;10;875;348;546;330;37.81;-122.27;88;6;1;Alameda;6;County;250.8;1.602564103;0.637362637;1.654545455
137500;0.9722;10;105;42;125;39;37.8;-122.27;89;6;1;Alameda;6;County;37.9158;0.84;0.336;3.205128205
500001;1.2434;52;249;78;396;85;37.8;-122.27;90;6;1;Alameda;6;County;105.689;0.628787879;0.196969697;4.658823529
162500;2.0938;16;994;392;800;362;37.8;-122.27;91;6;1;Alameda;6;County;757.9556;1.2425;0.49;2.209944751
137500;0.8668;52;215;87;904;88;37.8;-122.28;92;6;1;Alameda;6;County;76.2784;0.237831858;0.096238938;10.27272727
162500;0.75;52;96;31;191;34;37.8;-122.28;93;6;1;Alameda;6;County;25.5;0.502617801;0.162303665;5.617647059
187500;2.6354;27;1055;347;718;302;37.79;-122.27;94;6;1;Alameda;6;County;795.8908;1.469359331;0.483286908;2.377483444
179200;1.8477;39;1715;623;1327;467;37.8;-122.27;95;6;1;Alameda;6;County;862.8759;1.292388847;0.46948003;2.841541756
130000;2.0096;36;5329;2477;3469;2323;37.8;-122.26;96;6;1;Alameda;6;County;4668.3008;1.536177573;0.714038628;1.493327594
183800;2.8345;31;4596;1331;2048;1180;37.82;-122.26;97;6;1;Alameda;6;County;3344.71;2.244140625;0.649902344;1.73559322
125000;2.0062;29;335;107;202;91;37.81;-122.26;98;6;1;Alameda;6;County;182.5642;1.658415842;0.52970297;2.21978022
170000;1.2185;22;3682;1270;2024;1250;37.82;-122.26;99;6;1;Alameda;6;County;1523.125;1.81916996;0.627470356;1.6192
193100;2.6104;37;3633;1085;1838;980;37.82;-122.26;100;6;1;Alameda;6;County;2558.192;1.976605005;0.59031556;1.875510204
257800;2.4912;29;4656;1414;2304;1250;37.81;-122.25;101;6;1;Alameda;6;County;3114;2.020833333;0.613715278;1.8432
273400;3.2177;28;5806;1603;2563;1497;37.81;-122.25;102;6;1;Alameda;6;County;4816.8969;2.265314085;0.625438939;1.712090848
237500;3.125;39;854;242;389;228;37.81;-122.25;103;6;1;Alameda;6;County;712.5;2.195372751;0.622107969;1.706140351
350000;2.5795;52;2155;701;895;613;37.81;-122.25;104;6;1;Alameda;6;County;1581.2335;2.407821229;0.783240223;1.460032626
335700;2.8406;34;5871;1914;2689;1789;37.81;-122.26;105;6;1;Alameda;6;County;5081.8334;2.183339531;0.711788769;1.503074343
313400;4.9306;52;1509;225;674;244;37.82;-122.24;106;6;1;Alameda;6;County;1203.0664;2.238872404;0.333827893;2.762295082
268500;3.2727;52;2026;482;709;456;37.81;-122.24;107;6;1;Alameda;6;County;1492.3512;2.857545839;0.679830748;1.554824561
259400;3.1691;52;1758;460;686;422;37.81;-122.25;108;6;1;Alameda;6;County;1337.3602;2.562682216;0.670553936;1.625592417
275700;3.9;52;3481;751;1444;718;37.82;-122.24;109;6;1;Alameda;6;County;2800.2;2.41066482;0.520083102;2.011142061
225000;3.9063;28;3337;855;1520;802;37.82;-122.25;110;6;1;Alameda;6;County;3132.8526;2.195394737;0.5625;1.895261845
262500;5.0917;52;1424;289;550;253;37.82;-122.25;111;6;1;Alameda;6;County;1288.2001;2.589090909;0.525454545;2.173913043
218500;2.6429;32;3809;1098;1806;1022;37.82;-122.25;112;6;1;Alameda;6;County;2701.0438;2.109080842;0.607973422;1.767123288
255000;3.0233;26;3959;1196;1749;1217;37.82;-122.25;113;6;1;Alameda;6;County;3679.3561;2.263579188;0.683819325;1.437140509
224100;3.1484;52;2376;559;939;519;37.83;-122.25;114;6;1;Alameda;6;County;1634.0196;2.530351438;0.595314164;1.809248555
243100;3.4722;35;1613;428;675;422;37.83;-122.25;115;6;1;Alameda;6;County;1465.2684;2.38962963;0.634074074;1.599526066
231600;3.1429;52;1279;287;534;291;37.83;-122.25;116;6;1;Alameda;6;County;914.5839;2.395131086;0.537453184;1.835051546
218500;2.4234;28;5022;1750;2558;1661;37.83;-122.25;117;6;1;Alameda;6;County;4025.2674;1.963252541;0.684128225;1.540036123
234100;3.0897;52;4190;1105;1786;1037;37.83;-122.25;118;6;1;Alameda;6;County;3204.0189;2.346024636;0.618701008;1.722275796
327600;5.8596;50;2515;399;970;373;37.84;-122.23;119;6;1;Alameda;6;County;2185.6308;2.592783505;0.411340206;2.600536193
347600;5.2868;47;3175;454;1098;485;37.84;-122.23;120;6;1;Alameda;6;County;2564.098;2.891621129;0.413479053;2.263917526
366100;5.956;41;2576;406;794;376;37.83;-122.24;121;6;1;Alameda;6;County;2239.456;3.244332494;0.511335013;2.111702128
335000;4.9643;37;334;54;98;47;37.85;-122.24;122;6;1;Alameda;6;County;233.3221;3.408163265;0.551020408;2.085106383
373600;6.3434;52;2800;411;1061;403;37.85;-122.23;123;6;1;Alameda;6;County;2556.3902;2.639019793;0.387370405;2.632754342
389500;5.1773;52;3529;574;1177;555;37.84;-122.24;124;6;1;Alameda;6;County;2873.4015;2.998300765;0.487680544;2.120720721
391100;7.2354;52;2612;365;901;367;37.85;-122.24;125;6;1;Alameda;6;County;2655.3918;2.89900111;0.405105438;2.455040872
337300;5.457;28;5287;1048;2031;956;37.85;-122.22;126;6;1;Alameda;6;County;5216.892;2.603151157;0.516001969;2.124476987
295200;7.5;50;2935;473;1031;479;37.84;-122.22;127;6;1;Alameda;6;County;3592.5;2.846750727;0.458777886;2.152400835
292300;6.0194;44;3424;597;1358;597;37.84;-122.21;128;6;1;Alameda;6;County;3593.5818;2.521354934;0.439617084;2.274706868
411500;7.5544;40;4991;674;1616;654;37.83;-122.21;129;6;1;Alameda;6;County;4940.5776;3.088490099;0.417079208;2.470948012
311500;6.0666;30;2211;346;844;343;37.84;-122.2;130;6;1;Alameda;6;County;2080.8438;2.619668246;0.409952607;2.460641399
325900;7.0548;34;3038;490;1140;496;37.84;-122.21;131;6;1;Alameda;6;County;3499.1808;2.664912281;0.429824561;2.298387097
392600;11.6017;18;1617;210;533;194;37.84;-122.19;132;6;13;Contra Costa;6;County;2250.7298;3.033771107;0.393996248;2.74742268
319300;7.4882;35;2865;460;1072;443;37.84;-122.2;133;6;1;Alameda;6;County;3317.2726;2.672574627;0.429104478;2.41986456
333300;6.8976;34;5065;788;1627;766;37.83;-122.21;134;6;1;Alameda;6;County;5283.5616;3.11309158;0.484326982;2.124020888
335200;8.2049;28;1326;184;463;190;37.83;-122.19;135;6;1;Alameda;6;County;1558.931;2.863930886;0.397408207;2.436842105
351200;8.401;26;1589;223;542;211;37.83;-122.2;136;6;1;Alameda;6;County;1772.611;2.931734317;0.411439114;2.568720379
368900;6.8538;29;1791;271;661;269;37.83;-122.19;137;6;1;Alameda;6;County;1843.6722;2.709531014;0.409984871;2.457249071
365900;8.317;32;1835;264;635;263;37.82;-122.19;138;6;1;Alameda;6;County;2187.371;2.88976378;0.415748031;2.414448669
366700;7.0175;37;1229;181;420;176;37.82;-122.2;139;6;1;Alameda;6;County;1235.08;2.926190476;0.430952381;2.386363636
362800;6.3302;39;3770;534;1265;500;37.82;-122.2;140;6;1;Alameda;6;County;3165.1;2.980237154;0.422134387;2.53
483300;6.3624;30;292;38;126;52;37.81;-122.18;141;6;1;Alameda;6;County;330.8448;2.317460317;0.301587302;2.423076923
331400;7.0549;52;2375;333;813;350;37.82;-122.21;142;6;1;Alameda;6;County;2469.215;2.921279213;0.409594096;2.322857143
323500;6.7851;45;2964;436;1067;426;37.81;-122.2;143;6;1;Alameda;6;County;2890.4526;2.777881912;0.408622306;2.504694836
216700;2.8929;50;2833;605;1260;552;37.8;-122.21;144;6;1;Alameda;6;County;1596.8808;2.248412698;0.48015873;2.282608696
233100;3.0812;38;2254;535;951;487;37.8;-122.21;145;6;1;Alameda;6;County;1500.5444;2.370136698;0.56256572;1.952772074
296400;5.2402;52;1389;212;510;224;37.81;-122.21;146;6;1;Alameda;6;County;1173.8048;2.723529412;0.415686275;2.276785714
273700;6.5217;52;1971;335;765;308;37.81;-122.22;147;6;1;Alameda;6;County;2008.6836;2.576470588;0.437908497;2.483766234
227700;3.2632;52;2183;465;1129;460;37.8;-122.22;148;6;1;Alameda;6;County;1501.072;1.933569531;0.411868911;2.454347826
199600;3.0298;52;2286;464;1073;441;37.8;-122.22;149;6;1;Alameda;6;County;1336.1418;2.130475303;0.432432432;2.433106576
239800;4.5428;52;2721;541;1185;515;37.8;-122.22;150;6;1;Alameda;6;County;2339.542;2.296202532;0.456540084;2.300970874
270100;4.072;52;2024;339;756;340;37.81;-122.22;151;6;1;Alameda;6;County;1384.48;2.677248677;0.448412698;2.223529412
302100;5.3509;52;2944;536;1034;521;37.81;-122.22;152;6;1;Alameda;6;County;2787.8189;2.847195358;0.518375242;1.984644914
269500;3.1603;52;2033;486;787;459;37.8;-122.23;153;6;1;Alameda;6;County;1450.5777;2.583227446;0.617534943;1.71459695
314700;4.7708;52;1433;229;612;213;37.81;-122.23;154;6;1;Alameda;6;County;1016.1804;2.341503268;0.374183007;2.873239437
390100;8.1564;52;2927;402;1021;380;37.81;-122.22;155;6;1;Alameda;6;County;3099.432;2.866797258;0.393731636;2.686842105
410300;8.8793;52;2315;292;861;258;37.81;-122.23;156;6;1;Alameda;6;County;2290.8594;2.68873403;0.339140534;3.337209302
352400;6.8591;52;2485;313;953;327;37.81;-122.24;157;6;1;Alameda;6;County;2242.9257;2.607555089;0.328436516;2.914373089
287300;6.0302;52;1490;238;634;256;37.81;-122.24;158;6;1;Alameda;6;County;1543.7312;2.350157729;0.375394322;2.4765625
348700;7.508;52;2814;365;878;352;37.81;-122.23;159;6;1;Alameda;6;County;2642.816;3.20501139;0.41571754;2.494318182
243800;2.7477;52;2093;550;918;483;37.81;-122.24;160;6;1;Alameda;6;County;1327.1391;2.279956427;0.59912854;1.900621118
211500;2.1944;52;888;168;360;175;37.8;-122.24;161;6;1;Alameda;6;County;384.02;2.466666667;0.466666667;2.057142857
218400;3.0149;52;2087;510;1197;488;37.8;-122.25;162;6;1;Alameda;6;County;1471.2712;1.74352548;0.426065163;2.452868852
269900;3.675;52;2513;502;1048;518;37.81;-122.24;163;6;1;Alameda;6;County;1903.65;2.397900763;0.479007634;2.023166023
218800;3.225;46;3232;835;1373;747;37.81;-122.25;164;6;1;Alameda;6;County;2409.075;2.35396941;0.60815732;1.838018742
225000;2.9345;42;4120;1065;1715;1015;37.8;-122.25;165;6;1;Alameda;6;County;2978.5175;2.402332362;0.620991254;1.689655172
250000;2.1429;43;2364;792;1359;722;37.8;-122.25;166;6;1;Alameda;6;County;1547.1738;1.739514349;0.582781457;1.882271468
171400;1.6121;41;1471;469;1062;413;37.8;-122.25;167;6;1;Alameda;6;County;665.7973;1.385122411;0.441619586;2.571428571
193800;1.3929;29;2468;864;1335;773;37.8;-122.25;168;6;1;Alameda;6;County;1076.7117;1.848689139;0.647191011;1.727037516
125000;2.3173;27;1632;492;1171;429;37.79;-122.24;169;6;1;Alameda;6;County;994.1217;1.393680615;0.420153715;2.72960373
97500;1.7772;45;1786;526;1475;460;37.79;-122.25;170;6;1;Alameda;6;County;817.512;1.210847458;0.356610169;3.206521739
125000;2.6458;50;629;188;742;196;37.79;-122.25;171;6;1;Alameda;6;County;518.5768;0.847708895;0.253369272;3.785714286
138800;2.181;52;1339;391;1086;363;37.79;-122.25;172;6;1;Alameda;6;County;791.703;1.232965009;0.360036832;2.991735537
116700;2.2303;36;1678;606;1645;543;37.8;-122.25;173;6;1;Alameda;6;County;1211.0529;1.02006079;0.368389058;3.02946593
151800;1.6504;43;2344;647;1710;644;37.8;-122.25;174;6;1;Alameda;6;County;1062.8576;1.370760234;0.378362573;2.655279503
127000;2.2697;52;996;228;731;228;37.8;-122.24;175;6;1;Alameda;6;County;517.4916;1.3625171;0.311901505;3.206140351
128600;2.1563;52;1591;373;1118;347;37.8;-122.24;176;6;1;Alameda;6;County;748.2361;1.423076923;0.333631485;3.221902017
140600;2.1348;52;1586;398;1006;335;37.8;-122.24;177;6;1;Alameda;6;County;715.158;1.576540755;0.395626243;3.002985075
182700;2.6292;47;2046;588;1213;554;37.8;-122.24;178;6;1;Alameda;6;County;1456.5768;1.686727123;0.484748557;2.189530686
146900;2.3833;52;1192;289;772;257;37.8;-122.23;179;6;1;Alameda;6;County;612.5081;1.544041451;0.374352332;3.003891051
122800;2.957;52;1803;420;1321;401;37.8;-122.24;180;6;1;Alameda;6;County;1185.757;1.364875095;0.317940954;3.294264339
169300;2.5238;49;2838;749;1487;677;37.8;-122.24;181;6;1;Alameda;6;County;1708.6126;1.908540686;0.503698722;2.196454948
126600;1.9375;52;783;184;488;186;37.8;-122.23;182;6;1;Alameda;6;County;360.375;1.604508197;0.37704918;2.623655914
127900;1.9028;51;1590;414;949;392;37.8;-122.23;183;6;1;Alameda;6;County;745.8976;1.67544784;0.436248683;2.420918367
123500;2.25;50;1746;480;1149;415;37.8;-122.23;184;6;1;Alameda;6;County;933.75;1.519582245;0.417754569;2.768674699
111900;2.3929;52;1252;299;844;280;37.8;-122.23;185;6;1;Alameda;6;County;670.012;1.483412322;0.354265403;3.014285714
112800;2.1917;43;5963;1344;4367;1231;37.79;-122.23;186;6;1;Alameda;6;County;2697.9827;1.365468285;0.307762766;3.54752234
107900;2.9357;52;1783;395;1659;412;37.79;-122.23;187;6;1;Alameda;6;County;1209.5084;1.074743822;0.238095238;4.026699029
137500;1.8854;30;999;264;1011;263;37.79;-122.23;188;6;1;Alameda;6;County;495.8602;0.988130564;0.261127596;3.844106464
105500;2.1638;39;1469;431;1464;389;37.79;-122.24;189;6;1;Alameda;6;County;841.7182;1.003415301;0.294398907;3.763496144
95500;2.125;47;1372;395;1237;303;37.79;-122.24;190;6;1;Alameda;6;County;643.875;1.109135004;0.319320938;4.082508251
116100;3.375;52;674;180;647;168;37.79;-122.24;191;6;1;Alameda;6;County;567;1.041731066;0.27820711;3.851190476
112200;2.2542;43;1626;376;1284;357;37.79;-122.24;192;6;1;Alameda;6;County;804.7494;1.26635514;0.292834891;3.596638655
75000;2.1;51;175;43;228;55;37.79;-122.25;193;6;1;Alameda;6;County;115.5;0.76754386;0.188596491;4.145454545
112500;1.6;39;461;129;381;123;37.79;-122.25;194;6;1;Alameda;6;County;196.8;1.209973753;0.338582677;3.097560976
125000;3.625;52;902;237;846;227;37.79;-122.25;195;6;1;Alameda;6;County;822.875;1.066193853;0.280141844;3.726872247
115000;1.6929;20;2373;779;1659;676;37.8;-122.26;196;6;1;Alameda;6;County;1144.4004;1.430379747;0.469559976;2.454142012
95000;1.6471;52;391;128;520;138;37.77;-122.22;197;6;1;Alameda;6;County;227.2998;0.751923077;0.246153846;3.768115942
96400;2.59;52;1137;301;866;259;37.77;-122.22;198;6;1;Alameda;6;County;670.81;1.312933025;0.347575058;3.343629344
72000;2.57;52;769;206;612;183;37.77;-122.23;199;6;1;Alameda;6;County;470.31;1.256535948;0.336601307;3.344262295
71300;2.6429;52;472;146;415;126;37.78;-122.23;200;6;1;Alameda;6;County;333.0054;1.137349398;0.351807229;3.293650794
80800;3.0257;52;862;215;994;213;37.78;-122.23;201;6;1;Alameda;6;County;644.4741;0.867203219;0.216297787;4.666666667
128800;1.4886;50;1920;530;1525;477;37.78;-122.22;202;6;1;Alameda;6;County;710.0622;1.259016393;0.347540984;3.19706499
112500;1.9338;43;1420;472;1506;438;37.78;-122.23;203;6;1;Alameda;6;County;847.0044;0.942895086;0.313413015;3.438356164
119400;1.4844;52;986;258;1008;255;37.78;-122.23;204;6;1;Alameda;6;County;378.522;0.978174603;0.255952381;3.952941176
118100;1.6009;44;2340;825;2813;751;37.78;-122.23;205;6;1;Alameda;6;County;1202.2759;0.831852115;0.293281194;3.745672437
122500;2.0375;48;1696;396;1481;343;37.79;-122.23;206;6;1;Alameda;6;County;698.8625;1.145172181;0.267386901;4.317784257
106300;2.293;49;1175;217;859;219;37.79;-122.23;207;6;1;Alameda;6;County;502.167;1.367869616;0.252619325;3.922374429
132500;2.1494;37;2343;574;1608;523;37.79;-122.22;208;6;1;Alameda;6;County;1124.1362;1.457089552;0.356965174;3.07456979
122700;1.6198;30;610;145;425;140;37.79;-122.23;209;6;1;Alameda;6;County;226.772;1.435294118;0.341176471;3.035714286
