"state.of.res"	"custid"	"sex"	"is.employed"	"income"	"marital.stat"	"health.ins"	"housing.type"	"recent.move"	"num.vehicles"	"age"	"is.employed.fix1"	"Median.Income"	"gp"	"income.lt.30K"	"age.range"	"Income"
"874"	"Tennessee"	1032120	"F"	TRUE	184000	"Married"	FALSE	"Homeowner with mortgage/loan"	FALSE	2	41	"employed"	50977	0.682316863676533	FALSE	"(25,65]"	40200
"915"	"Texas"	1297652	"M"	TRUE	165200	"Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	3	62	"employed"	41979	0.721920888405293	FALSE	"(25,65]"	NA
"956"	"Virginia"	965618	"M"	TRUE	113500	"Never Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	2	48	"employed"	53914	0.931115798186511	FALSE	"(25,65]"	NA
"890"	"Texas"	1003135	"M"	NA	15400	"Married"	TRUE	NA	NA	NA	88	"missing"	41979	0.929422443266958	TRUE	"(65,Inf]"	2400
"567"	"New Jersey"	118561	"F"	NA	9600	"Widowed"	TRUE	"Rented"	FALSE	1	60	"missing"	68187	0.450070938328281	TRUE	"(25,65]"	38000
"563"	"New Jersey"	250108	"F"	TRUE	90000	"Divorced/Separated"	TRUE	"Rented"	FALSE	2	31	"employed"	68187	0.300835078582168	FALSE	"(25,65]"	1e+05
"599"	"New York"	20383	"M"	TRUE	170000	"Never Married"	TRUE	"Homeowner with mortgage/loan"	TRUE	1	35	"employed"	44819	0.584170060930774	FALSE	"(25,65]"	26300
"441"	"Michigan"	411385	"M"	TRUE	45000	"Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	3	45	"employed"	62634	0.662146661896259	FALSE	"(25,65]"	382000
"518"	"Missouri"	532940	"M"	TRUE	62000	"Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	2	33	"employed"	37427	0.340968672651798	FALSE	"(25,65]"	53000
"901"	"Texas"	139771	"M"	TRUE	9600	"Married"	TRUE	"Rented"	FALSE	2	42	"employed"	41979	0.534722834127024	TRUE	"(25,65]"	NA
"822"	"Pennsylvania"	761380	"M"	TRUE	71800	"Married"	TRUE	"Rented"	TRUE	2	34	"employed"	52758	0.345844328403473	FALSE	"(25,65]"	1e+05
"670"	"New York"	1032402	"M"	TRUE	22800	"Married"	TRUE	"Rented"	TRUE	2	72	"employed"	44819	0.271446883911267	TRUE	"(65,Inf]"	NA
"781"	"Oregon"	269836	"F"	NA	22400	"Widowed"	TRUE	"Homeowner with mortgage/loan"	FALSE	1	77	"missing"	48137	0.528189464239404	TRUE	"(65,Inf]"	180000
"103"	"California"	146457	"M"	TRUE	49000	"Never Married"	TRUE	"Rented"	FALSE	2	35	"employed"	39832	0.819738687947392	FALSE	"(25,65]"	NA
"347"	"Kentucky"	136206	"F"	NA	3700	"Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	2	56	"missing"	48451	0.727316533215344	TRUE	"(25,65]"	6400
"446"	"Michigan"	739344	"M"	NA	127500	"Widowed"	TRUE	"Homeowner free and clear"	FALSE	5	75	"missing"	62634	0.405588538618758	FALSE	"(65,Inf]"	120000
"889"	"Texas"	1278230	"F"	TRUE	110000	"Married"	TRUE	"Homeowner with mortgage/loan"	TRUE	2	33	"employed"	41979	0.58747756620869	FALSE	"(25,65]"	NA
"332"	"Iowa"	1083939	"M"	NA	0	"Married"	TRUE	"Homeowner free and clear"	FALSE	1	73	"missing"	47526	0.340087236836553	TRUE	"(65,Inf]"	NA
"892"	"Texas"	1386763	"F"	TRUE	43600	"Never Married"	TRUE	"Rented"	TRUE	1	29	"employed"	41979	0.830942516913638	FALSE	"(25,65]"	10000
"979"	"West Virginia"	743329	"M"	TRUE	100600	"Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	2	39	"employed"	61241	0.461391664575785	FALSE	"(25,65]"	70000
"302"	"Indiana"	211424	"M"	TRUE	110000	"Divorced/Separated"	TRUE	"Rented"	FALSE	1	50	"employed"	55534	0.913873952813447	FALSE	"(25,65]"	12000
"752"	"Ohio"	167498	"M"	FALSE	45000	"Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	1	32	"not employed"	52176	0.268322055926546	FALSE	"(25,65]"	24800
"460"	"Michigan"	1084583	"F"	TRUE	12000	"Married"	TRUE	"Homeowner with mortgage/loan"	FALSE	2	41	"employed"	62634	0.871542788110673	TRUE	"(25,65]"	285000
"638"	"New York"	506042	"M"	TRUE	130100	"Divorced/Separated"	TRUE	"Homeowner with mortgage/loan"	FALSE	1	51	"employed"	44819	0.186964627122506	FALSE	"(25,65]"	43000
"736"	"Ohio"	1362854	"F"	NA	35700	"Married"	FALSE	"Homeowner with mortgage/loan"	FALSE	1	28	"missing"	52176	0.58879421511665	FALSE	"(25,65]"	22800
